homeid,study,stamp,itemid,areaid,event,active
1111,OHSU-CART,26:56.7,13111,-1,1,1
1111,OHSU-CART,27:06.0,13110,-1,1,1
1111,OHSU-CART,27:29.0,19609,-1,0,1
1111,OHSU-CART,27:45.6,13580,-1,0,1
1111,OHSU-CART,27:56.7,13578,-1,0,1
1111,OHSU-CART,28:05.1,13575,-1,0,1
1111,OHSU-CART,30:07.1,11686,-1,0,1
1111,OHSU-CART,30:19.8,11689,-1,0,1
1111,OHSU-CART,30:39.5,11851,-1,0,1
